CLIENTNUM,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_1,Naive_Bayes_Classifier_2
785432733,0.865,966,22,1.2,0,0.00035532,0.99964
715190283,1.32,1464,28,0.556,0.241,0.00016883,0.99983
708300483,1.052,704,16,0.143,0.077,0.9978,0.00219708
827111283,1.042,1109,28,0.474,0.018,0.00011811,0.99988
758551608,0.803,1347,28,0.556,0.355,0.0000223,0.99998
773146383,1.449,1756,33,1.2,0.145,0.00015785,0.99984
778493808,1.214,1756,32,1,0,0.0000692,0.99993
720572508,0.977,1042,23,0.917,0.209,0.00031726,0.99968
712661433,1.621,1444,28,1.333,0,0.00020643,0.99979
789172683,2.316,1741,27,0.588,0.626,0.0000608,0.99994
738406533,2.357,1719,27,1.7,0.793,0.0001546,0.99985
799723908,0.787,1217,27,0.8,0.074,0.00030516,0.99969
771490833,0.624,1140,40,0.6,0.259,0.0000303,0.99997
720756708,1.321,1878,30,1.143,0.591,0.00020516,0.99979
779471883,0.997,705,19,0.9,0.562,0.99028,0.00972
711525033,1.224,1946,38,1.923,0.687,0.00018134,0.99982
712813458,0.664,1414,35,0.25,0.127,0.0000462,0.99995
714374133,1.041,602,15,0.364,0,0.99671,0.00329379
717891558,0.678,1052,32,0.6,0.667,0.00022797,0.99977
716632758,0.75,1295,40,0.6,0.843,0.0000436,0.99996
768563658,1.107,1424,29,1.417,0.422,0.00019683,0.9998
711427458,2.275,1359,25,1.083,0.156,0.0000569,0.99994
714091983,0.69,1168,27,1.25,0.525,0.00035539,0.99964
787584108,0.901,1097,33,0.833,0.587,0.00021834,0.99978
712030833,0.763,691,15,0.5,0,0.99823,0.00177065
711481533,0.944,1316,28,1.154,0.211,0.00027604,0.99972
710082708,0.997,1276,26,0.733,0.088,0.00026824,0.99973
708155733,0.989,1289,23,0.917,0.111,0.00011065,0.99989
788979258,0.592,1293,32,0.6,0.044,0.00015398,0.99985
807986133,0.62,1353,35,0.667,0.276,0.00029411,0.99971
788730933,1.004,1132,28,0.556,0.704,0.00031104,0.99969
711314058,1.715,1670,17,2.4,0.656,0.00011382,0.99989
717975333,1.072,837,15,2,0.053,0.00016471,0.99984
715971108,1.266,1550,41,1.05,0.051,0.00020077,0.9998
720096558,0.758,1540,36,0.286,0.467,0.00030251,0.9997
719580033,0.769,1256,21,0.4,0.698,0.00017969,0.99982
820582308,0.414,1394,35,0.522,0.067,0.00012082,0.99988
789973308,1.312,1341,24,1.182,0.079,0.00027607,0.99972
712876233,0.857,1289,33,0.435,0.287,0.00017987,0.99982
804595158,0.475,1112,23,1.875,0.36,0.00022797,0.99977
714826758,0.751,2339,57,0.966,0.256,0.00023192,0.99977
779058108,0.703,1468,23,0.353,0.719,0.0000572,0.99994
710790258,0.85,1334,35,0.4,0.066,0.00017987,0.99982
715623483,1.242,1457,41,1.412,0.198,0.0000832,0.99992
715156383,0.924,1603,29,0.526,0.044,0.00011743,0.99988
711013983,0.585,615,12,0.714,0,0.99763,0.00236635
755420433,0.383,1068,20,0.818,0.14,0.00028395,0.99972
794543958,1.129,1590,27,2,0.035,0.00020404,0.9998
716396358,0.921,1531,35,0.667,0.619,0.0000664,0.99993
715398033,0.607,1212,31,0.722,0.108,0.0000667,0.99993
711743883,0.483,1237,32,0.6,0,0.00020424,0.9998
719720058,1.932,1413,14,1.8,0.066,0.00010943,0.99989
778992108,1.702,1516,29,1.636,0,0.00033251,0.99967
717539808,0.731,1276,21,1.333,0,0.00011065,0.99989
714070758,0.875,1564,35,2.182,0.062,0.0000677,0.99993
714107958,0.579,1465,34,0.619,0,0.00034315,0.99966
789140283,0.85,1286,29,0.933,0.765,0.0001125,0.99989
715550508,1.705,1312,20,1.222,0.963,0.0000628,0.99994
719712633,1.656,1673,32,0.882,0.524,0.00034315,0.99966
772629333,0.597,1313,30,0.304,0.347,0.00022556,0.99977
720336708,1.047,1609,42,0.68,0.45,0.00027008,0.99973
802013583,0.576,1158,19,0.727,0.232,0.0000424,0.99996
711887583,0.696,836,18,0.385,0.299,0.997,0.00299743
714778833,0.619,1289,22,1,0.085,0.0000809,0.99992
713843283,1.034,1487,26,0.733,0.059,0.00031177,0.99969
779155158,0.562,1259,33,0.5,0.43,0.00011811,0.99988
721091583,0.788,1298,15,1.5,0.62,0.00030251,0.9997
713572683,0.883,1226,34,0.789,0,0.0000669,0.99993
716657058,0.762,1566,37,0.542,0.111,0.00037329,0.99963
779509983,0.828,1022,21,1.1,0.027,0.0000648,0.99994
717929133,1.283,1235,30,0.667,0.169,0.00018475,0.99982
808284783,0.813,1951,44,1.095,0,0.00000776,0.99999
708476808,0.618,1047,31,0.824,0.058,0.00020735,0.99979
710916408,0.56,1342,32,0.391,0.223,0.0000696,0.99993
708492558,0.939,1107,21,1.625,0.057,0.00034503,0.99965
799825758,0.588,1251,35,0.346,0.513,0.0000562,0.99994
718619883,1.674,1305,24,3,0.473,0.00010043,0.9999
711844758,0.791,1388,37,1.056,0.095,0.0000211,0.99998
714798783,1.826,1235,18,1.571,0.047,0.00010684,0.99989
826762908,1.024,2089,36,1.118,0.106,0.0000424,0.99996
771894558,1.873,1626,25,0.786,0.156,0.00015942,0.99984
721074183,0.712,1111,24,1,0.05,0.00032436,0.99968
715259583,0.816,1553,38,1,0.355,0.0001861,0.99981
718414008,1.004,1064,13,0.625,0.03,0.00011382,0.99989
719666283,0.766,1243,29,0.611,0.615,0.0000276,0.99997
714877233,1.584,1659,38,1.533,0.15,0.00010386,0.9999
785387883,0.566,1594,47,0.382,0.407,0.00030516,0.99969
771075258,0.526,1268,42,0.355,0.044,0.00015801,0.99984
711318033,0.676,1304,24,0.846,0,0.00011811,0.99988
783554958,0.567,1368,30,0.364,0,0.0000213,0.99998
720201033,0.622,720,23,0.353,0.191,0.99447,0.00553
718039683,0.846,1521,29,1.417,0.096,0.0000535,0.99995
710806083,0.7,1137,30,0.765,0.176,0.0000993,0.9999
714752208,0.788,978,16,0.778,0.83,0.0000517,0.99995
822063408,0.632,1221,16,2.2,0.412,0.0000635,0.99994
714490308,1.186,1565,28,1.545,0.086,0.00020077,0.9998
713356833,1.541,1578,34,0.7,0.678,0.00014834,0.99985
711402333,0.541,1493,32,1,0.246,0.00013405,0.99987
708296883,0.688,1178,27,0.929,0.067,0.0000211,0.99998
719154483,0.839,991,26,0.733,0.271,0.00017486,0.99983
717721458,1.689,2560,42,1.211,0.114,0.0000207,0.99998
711112683,1.236,1657,29,1.231,0.395,0.0001747,0.99983
715674483,0.939,1204,19,0.727,0.406,0.00013393,0.99987
789322833,0.654,673,18,0.8,0,0.99672,0.00328187
789968058,0.649,1131,18,0.636,0.258,0.00019751,0.9998
709919283,1.996,1576,25,1.5,0.169,0.00018864,0.99981
718744008,0.397,1217,20,0.667,0.178,0.00017969,0.99982
767712558,0.71,530,10,1,0,0.99639,0.00360825
712950783,0.76,739,16,0.455,0,0.99518,0.00481999
716104983,1.162,1617,31,2.875,0.941,0.00017987,0.99982
818839983,1.317,1592,34,1,0.141,0.000042,0.99996
772288758,0.728,1343,30,1.308,0.23,0.0000972,0.9999
712350858,0.572,1303,39,0.625,0.118,0.0000901,0.99991
711009708,1.047,1351,22,0.467,0,0.0000205,0.99998
712720158,1.255,1910,32,1.909,0.119,0.00017969,0.99982
712215258,0.868,1298,22,0.571,0,0.00016236,0.99984
773827008,0.469,1087,29,1.231,0.64,0.00012274,0.99988
795232683,2.121,1439,26,1.364,0.432,0.0001747,0.99983
713786508,0.786,1238,28,0.75,0,0.00034328,0.99966
713539833,1.373,1716,29,0.812,0,0.0000944,0.99991
712454058,0.554,1099,27,0.8,0.066,0.00012583,0.99987
718759833,1.3,1058,24,2.429,0,0.00016711,0.99983
718803333,0.971,1285,29,0.706,0.612,0.00011377,0.99989
720253908,1.009,1651,28,1,0.359,0.0000573,0.99994
714133158,0.852,1152,31,0.824,0.309,0.00027607,0.99972
713187033,1.248,1767,38,2.167,0.101,0.00010985,0.99989
714791208,0.508,1039,24,0.263,0.607,0.00038948,0.99961
772426383,1.077,1130,28,1.333,0.512,0.00020643,0.99979
710975883,0.682,1645,30,0.429,0.806,0.0000588,0.99994
714264408,0.993,1413,29,0.706,0.463,0.0000217,0.99998
715827858,1.456,1218,23,2.286,0.77,0.0003262,0.99967
713741358,0.658,597,17,0.7,0.076,0.99681,0.00319072
709531908,0.776,2184,53,0.828,0,0.00011482,0.99989
716493408,0.86,1592,37,1.467,0.108,0.0003262,0.99967
714141108,0.567,1388,28,0.75,0.133,0.00027604,0.99972
708953883,0.713,757,20,0.25,0,0.98692,0.01308
712608783,0.588,1504,34,0.789,0.037,0.0000814,0.99992
820353558,0.644,1503,34,0.478,0.146,0.0000556,0.99994
714964758,0.791,1105,28,0.867,0.171,0.00011751,0.99988
716264358,1.432,2398,47,0.88,0.069,0.0000588,0.99994
717296808,2.053,1661,32,1,0.837,0.00016883,0.99983
712977183,0.706,1421,22,1.444,0.055,0.0000616,0.99994
710829108,0.35,999,28,0.556,0.294,0.00018475,0.99982
779562633,1.791,1387,18,0.8,0.39,0.0000706,0.99993
715315833,0.948,1243,24,1,0.19,0.00019864,0.9998
815500983,1.334,1860,36,1,0.692,0.000064,0.99994
719360583,0.747,1502,25,1.273,0.503,0.00010684,0.99989
709701558,0.949,1460,50,1.083,0.059,0.0000572,0.99994
721148358,0.646,1348,27,0.286,0,0.0000732,0.99993
779862408,1.161,1087,33,0.941,0.074,0.0000248,0.99998
812627208,0.782,1226,33,0.571,0.513,0.0000773,0.99992
711033408,0.701,1230,28,0.867,0.174,0.0000535,0.99995
779956608,0.688,1555,32,0.684,0,0.000109,0.99989
780376683,1.768,1827,24,3,0.135,0.00010182,0.9999
717912483,0.731,1376,35,0.591,0,0.000044,0.99996
714454758,0.896,1771,37,0.762,0.251,0.00019864,0.9998
780466533,1.097,1873,52,0.529,0.078,0.0000996,0.9999
715735233,0.971,1679,42,0.556,0.463,0.0000403,0.99996
720476733,0.819,1002,22,0.571,0.133,0.0000556,0.99994
715872333,0.829,1344,21,1.1,0.11,0.0001597,0.99984
712375758,1.642,1461,42,0.75,0.087,0.00011574,0.99988
708868233,0.743,760,21,0.615,0.626,0.99338,0.00662
718030083,1.242,1428,22,1.444,0.214,0.0000503,0.99995
720707283,0.869,1777,42,0.75,0.164,0.0000765,0.99992
771698658,0.619,1302,27,0.8,0.176,0.00034882,0.99965
748326258,1.509,1483,41,0.519,0.133,0.00034086,0.99966
770817783,0.623,1060,27,0.5,0.049,0.000065,0.99993
779353083,0.505,1330,32,0.684,0.043,0.00010284,0.9999
711441333,0.504,1229,27,0.8,0.15,0.0000938,0.99991
719808558,0.707,886,27,0.421,0,0.99727,0.00272694
711551958,0.688,844,24,0.5,0,0.9972,0.00280059
809164083,1.259,1450,37,0.947,0.679,0.0000517,0.99995
820596183,1.071,2311,48,0.714,0.098,0.0000645,0.99994
715999608,0.93,1378,26,1.167,0.694,0.0000535,0.99995
710565408,1.327,1033,26,1.364,0.039,0.00016316,0.99984
805543158,0.869,1523,40,1.105,0.199,0.0003139,0.99969
709752183,0.615,1374,37,0.762,0.22,0.00011482,0.99989
716479233,0.908,1080,21,1.333,0.13,0.00018339,0.99982
713837058,0.531,1234,24,0.714,0.76,0.00018612,0.99981
718876683,0.638,1600,32,0.455,0.202,0.000044,0.99996
770746908,0.971,1155,32,0.882,0.319,0.0000635,0.99994
794843883,0.603,1353,33,0.737,0.035,0.0000556,0.99994
803043933,2.368,1546,25,1.273,0.165,0.0000893,0.99991
758076408,0.579,1590,43,1.263,0.863,0.00010183,0.9999
714606558,1.008,1448,22,1,0.665,0.0000196,0.99998
778425408,0.569,1271,24,0.714,0.598,0.0000696,0.99993
714171108,0.616,1223,20,0.538,0.539,0.00019864,0.9998
719662458,0.859,1117,29,1.071,0.472,0.00011382,0.99989
713137233,0.75,994,24,0.846,0.064,0.0000645,0.99994
769425858,0.81,1468,26,0.625,0,0.0000556,0.99994
711297483,0.853,1658,38,0.357,0.16,0.00020195,0.9998
788900883,0.604,1368,38,0.407,0.42,0.0000926,0.99991
758348808,0.613,1218,18,0.8,0.048,0.00030251,0.9997
772336458,0.838,702,12,0.714,0.713,0.99717,0.00282527
708711483,1.727,1516,21,2,0.092,0.0000729,0.99993
717906783,1.073,1310,26,1,0.336,0.00011751,0.99988
719437908,0.921,1767,50,0.923,0.092,0.00013897,0.99986
769433508,0.767,933,25,0.923,0.666,0.00027607,0.99972
790096533,1.207,1512,27,1.455,0.147,0.00017488,0.99983
720997383,0.723,829,17,0.7,0.987,0.99659,0.00341249
787541883,0.483,1120,27,0.35,0,0.0003139,0.99969
709930758,0.538,1506,33,0.941,0.11,0.00031104,0.99969
789830058,0.621,1384,36,2.273,0.073,0.0000635,0.99994
710299608,0.993,817,30,0.667,0.88,0.997,0.00299743
710741208,1.148,2094,25,0.667,0.28,0.00011065,0.99989
821797008,0.734,815,21,0.615,0,0.99482,0.00518
708874533,0.789,510,24,0.6,0,0.99432,0.00568
715341858,0.939,1377,49,0.69,0.65,0.00019143,0.99981
793636308,0.912,1193,33,0.65,0.355,0.00012144,0.99988
713779908,0.343,1287,36,0.636,0.761,0.00027008,0.99973
712125258,0.98,701,19,0.727,0,0.99677,0.00323086
709703433,1.018,1770,25,0.923,0.072,0.0000572,0.99994
721022433,0.435,1409,35,0.167,0.327,0.0000797,0.99992
710103558,0.868,1354,28,0.647,0.459,0.0000672,0.99993
715952883,1.363,1765,34,1.615,0.252,0.00015005,0.99985
719731458,0.538,1192,27,0.588,0.244,0.00058851,0.99941
772390908,0.616,687,17,0.545,0.291,0.99673,0.00326713
787348608,0.581,1227,15,0.875,0.46,0.0001597,0.99984
709485033,0.969,1737,26,1.6,0.489,0.00029408,0.99971
715432608,0.769,1348,34,1.125,0.043,0.0000234,0.99998
799471833,0.609,1435,38,0.462,0.482,0.00010985,0.99989
714187533,0.456,1321,28,0.75,0.24,0.0000682,0.99993
779656908,0.73,1479,29,0.611,0.197,0.00016883,0.99983
788950158,0.854,1283,39,1.294,0.048,0.00018612,0.99981
778867533,1.038,689,23,0.353,0,0.9925,0.0075
710620383,0.655,965,17,1.125,0.048,0.00020735,0.99979
778661358,1.53,1541,40,1,0.866,0.00018558,0.99981
789483333,0.707,1258,23,1.3,0.152,0.0000952,0.9999
809855808,0.708,1339,20,0.538,0.317,0.00011382,0.99989
718464258,0.701,1007,22,1.444,0.114,0.00012982,0.99987
708528483,0.617,1387,33,1.357,0.762,0.00018864,0.99981
771809733,1.021,960,18,0.385,0,0.99605,0.00394582
719942883,0.923,1119,18,3.5,0.626,0.00031231,0.99969
807226683,0.549,1642,41,0.519,0.211,0.00010566,0.99989
717806133,0.795,1382,31,1.067,0,0.0000682,0.99993
720615708,0.814,1232,32,0.684,0,0.00010043,0.9999
714511758,0.838,1542,16,1.286,0.162,0.0000696,0.99993
715050408,0.826,1094,32,0.524,0.196,0.00030516,0.99969
721132233,0.759,1217,30,1.143,0.734,0.00012274,0.99988
719211558,0.898,744,18,1,0,0.98217,0.01783
712069008,0.84,1614,33,0.737,0.446,0.0000453,0.99995
715996983,1.302,1747,31,1.214,0.14,0.00012274,0.99988
773466258,0.587,1144,22,1,0.262,0.0000944,0.99991
798983508,1.117,1575,34,2.4,0.042,0.00015255,0.99985
719117433,0.859,1463,24,1.667,0.094,0.0000677,0.99993
716451183,1.434,1706,21,1.625,0.308,0.00018475,0.99982
718621608,1.129,909,14,0.273,0,0.99061,0.00939
715085733,2.145,2434,33,1.538,0.68,0.0000473,0.99995
788977833,1.015,1876,41,0.783,0.238,0.0000179,0.99998
720272958,0.953,1000,25,0.786,0,0.99661,0.00338788
708421833,0.771,1139,30,0.765,0.753,0.00018864,0.99981
709173108,0.491,799,21,0.235,0.877,0.99169,0.00831
709879458,0.89,1881,45,0.607,0.724,0.00028744,0.99971
715120608,0.955,1273,27,0.588,0.117,0.00018665,0.99981
770632758,0.587,1328,33,0.571,0.638,0.00027297,0.99973
779078733,0.631,1579,36,1.118,0.102,0.00052896,0.99947
771742533,0.607,937,28,0.556,0.131,0.0000551,0.99994
720250158,1.178,1749,37,2.083,0.078,0.0000645,0.99994
716458983,1.859,1424,29,1.417,0.255,0.0000773,0.99992
713747733,0.799,2011,41,0.783,0.716,0.00017486,0.99983
712270158,0.728,1208,31,0.632,0.609,0.0001597,0.99984
789562383,0.888,1259,24,1,0.405,0.0000605,0.99994
754897008,0.612,1319,26,0.368,0.15,0.00018145,0.99982
819700533,0.804,949,27,2,0.154,0.0001443,0.99986
712890408,0.869,1338,30,1.308,0.605,0.00018494,0.99982
720248208,0.657,1554,26,0.444,0.275,0.000081,0.99992
779749908,0.722,1350,32,0.455,0.06,0.00022488,0.99978
717401883,0.963,1694,44,0.76,0.162,0.00012144,0.99988
721509558,0.816,1678,40,0.538,0.07,0.0000664,0.99993
710572458,0.742,2069,43,0.536,0,0.0000335,0.99997
714576183,0.776,1222,23,0.438,0.094,0.00018864,0.99981
721425558,0.788,1536,37,0.423,0,0.00017987,0.99982
711109908,0.697,1400,31,2.1,0.256,0.0000358,0.99996
715203108,0.885,1050,28,1.154,0.186,0.00011065,0.99989
710027508,0.984,1389,33,1.2,0.648,0.000036,0.99996
787464408,0.656,1184,29,0.611,0,0.00011703,0.99988
783542133,1.32,2093,42,1,0.806,0.00014734,0.99985
708330858,0.798,678,11,0.833,0.167,0.99683,0.00317458
714426783,1.084,1467,29,1.417,0.153,0.00017987,0.99982
712701333,0.374,1219,27,0.5,0.412,0.00018145,0.99982
709494483,1.256,1730,36,0.565,0.79,0.0000647,0.99994
773373108,0.541,1025,28,0.647,0.732,0.0000428,0.99996
715812258,0.645,1165,33,0.833,0.123,0.0001953,0.9998
778286433,1.012,2133,55,0.719,0.221,0.0000589,0.99994
789270033,0.448,1122,13,0.182,0,0.00017949,0.99982
711569433,0.549,1083,22,1.75,0.2,0.0000566,0.99994
720214833,1.32,1234,23,1.875,0.063,0.00026573,0.99973
709346133,1.252,1277,23,1.875,0.785,0.0000682,0.99993
788194458,0.952,1843,35,0.944,0.771,0.00030516,0.99969
720779733,0.685,1747,49,0.581,0.224,0.00010985,0.99989
717424458,0.617,1166,22,1.444,0.795,0.00021165,0.99979
708820308,0.627,1326,31,0.824,0.187,0.00013897,0.99986
710558058,0.944,1619,36,1,0.583,0.00034503,0.99965
770590758,0.581,1285,16,0.333,0.316,0.0000436,0.99996
718490658,0.816,1142,28,1,0.447,0.000087,0.99991
711985833,0.574,1190,46,0.643,0.625,0.0000219,0.99998
708967608,1.051,1052,24,0.714,0.514,0.0000517,0.99995
718505958,0.771,1628,38,0.727,0.049,0.0002822,0.99972
715024233,0.986,1740,32,0.882,0.557,0.00016413,0.99984
779249583,1.707,1378,29,0.812,0.955,0.00028395,0.99972
709278258,0.821,996,26,0.444,0.867,0.99497,0.00503
778928283,1.315,1389,32,0.6,0.846,0.0000692,0.99993
712299858,1.031,1365,38,1,0.756,0.00027604,0.99972
799224108,1.027,1715,43,0.87,0.31,0.0000578,0.99994
809976033,0.827,1582,25,0.786,0.2,0.0000682,0.99993
716203308,0.62,1220,22,0.692,0.62,0.0003139,0.99969
714871683,0.819,715,13,0.182,0.373,0.99717,0.00282527
716139933,1.223,2552,49,1.227,0.105,0.0000459,0.99995
716984658,0.507,1106,31,0.938,0,0.00017969,0.99982
713086008,1.269,1731,34,1.833,0.935,0.0000205,0.99998
713773458,0.541,1435,32,0.6,0.155,0.00017486,0.99983
719242533,0.994,1882,38,0.652,0.111,0.00030361,0.9997
772712658,1.227,2058,34,0.789,0.435,0.0000486,0.99995
788868858,1.019,1658,32,1.462,0.932,0.00021738,0.99978
811898133,1.049,1334,32,0.6,0.829,0.0000934,0.99991
788808633,0.751,1441,29,0.812,0.463,0.00018665,0.99981
779804208,0.939,1371,39,1.167,0,0.000042,0.99996
781391058,0.683,1991,38,0.583,0.953,0.0001736,0.99983
790134408,1.166,1278,22,1.444,0.07,0.00020077,0.9998
788853258,0.797,1734,39,1.167,0.188,0.0000405,0.99996
711857733,0.703,1330,34,1.125,0.135,0.00012144,0.99988
822969858,1.503,1787,31,0.722,0.262,0.0000795,0.99992
719554758,0.837,1672,32,0.524,0.063,0.00018494,0.99982
711643458,1.068,1439,41,1.05,0,0.000498,0.9995
788830683,1.284,1558,31,0.938,0.82,0.0000203,0.99998
807030858,0.788,1795,47,0.679,0.066,0.00030842,0.99969
793059108,0.431,893,22,0.375,0.616,0.00019143,0.99981
716568708,0.844,1099,27,0.588,0,0.00017987,0.99982
828281733,0.762,1408,23,1.091,0.057,0.00034872,0.99965
717229158,0.999,1893,15,2.75,0.595,0.00031726,0.99968
715915458,1.052,1151,31,1.385,0.521,0.00011382,0.99989
819129858,0.93,1519,31,0.938,0.268,0.0000664,0.99993
713441958,0.572,1245,25,0.786,0.09,0.00017486,0.99983
719091333,0.685,1102,27,0.286,0.035,0.00015871,0.99984
708666258,0.566,1402,33,0.737,0.221,0.0000765,0.99992
714914583,0.974,1060,30,1.308,0.405,0.00020077,0.9998
714363858,0.817,1459,35,1.188,0.885,0.00034447,0.99966
721347408,0.886,1456,39,0.444,0.546,0.0000383,0.99996
809608533,0.921,1439,48,1,0.087,0.00022196,0.99978
772047183,0.828,1353,24,1.182,0.569,0.00030842,0.99969
714217908,0.751,1173,32,0.391,0.648,0.00018665,0.99981
714819183,1.174,1746,28,1,0.08,0.00018475,0.99982
716455683,0.556,1279,28,0.867,0.047,0.00022248,0.99978
710865633,0.484,1307,29,0.261,0.183,0.0000379,0.99996
752952108,0.711,1473,37,1.176,0.639,0.00020077,0.9998
712595433,0.778,1805,37,0.762,0.183,0.00019683,0.9998
714982383,0.996,1421,23,1.3,0.329,0.00029408,0.99971
813814008,0.728,1272,37,1.312,0.678,0.00016413,0.99984
794545983,0.616,1409,34,0.619,0.162,0.00019143,0.99981
708288108,1.087,647,15,0.364,0.274,0.99761,0.00239178
715585158,0.578,1275,25,0.667,0.161,0.00016883,0.99983
810449883,0.794,1270,27,0.588,0.865,0.0000192,0.99998
789863208,0.979,1702,37,0.947,0.73,0.00019143,0.99981
715022133,0.644,1256,26,1,0.183,0.00011382,0.99989
712506708,0.944,3178,53,0.656,0.512,0.0000556,0.99994
715699983,1.521,1626,29,1.636,0.134,0.0000934,0.99991
818942433,0.597,1562,33,0.5,0.137,0.0000383,0.99996
712459233,1.052,1960,57,0.727,0.692,0.00033411,0.99967
716545383,1.087,1154,38,1.235,0.162,0.0000217,0.99998
721144383,0.637,1629,38,0.727,0.03,0.0000522,0.99995
821837958,0.693,1226,25,0.923,0.067,0.00010944,0.99989
804359133,1.095,1743,27,0.929,0.587,0.00025237,0.99975
713308683,0.791,1139,39,0.444,0.478,0.00010985,0.99989
788780958,0.638,1073,21,0.4,0.098,0.00029196,0.99971
717354558,1.045,683,17,0.7,0.361,0.9968,0.00320374
798473808,0.511,1159,32,0.684,0,0.0000669,0.99993
712372158,0.986,1859,47,0.958,0.06,0.00010679,0.99989
715192308,0.648,1205,28,0.867,0.07,0.0001953,0.9998
708813033,0.83,1409,37,0.37,0.312,0.0000623,0.99994
714639783,0.742,1000,18,0.059,0,0.99674,0.00326498
709311633,0.61,1209,39,0.3,0,0.0000379,0.99996
709470858,0.869,1366,25,0.786,0.036,0.0000632,0.99994
717292758,0.466,1161,44,0.375,0,0.00017987,0.99982
779241783,0.781,1512,38,0.407,0.539,0.0001736,0.99983
715205358,1.059,1750,35,1.333,0.36,0.0000312,0.99997
778871508,1.139,1170,24,0.846,0.15,0.000081,0.99992
779462433,1.081,2218,50,0.613,0.395,0.00011924,0.99988
710147958,1.01,1198,33,0.833,0.077,0.00010374,0.9999
709864833,0.637,1329,26,0.444,0.243,0.0000494,0.99995
778868958,0.835,857,36,1.118,0.867,0.99671,0.00329379
717276708,0.589,1470,30,1.143,0.805,0.00019771,0.9998
710004933,0.708,1435,25,1.778,0.168,0.00019094,0.99981
753606108,0.503,1093,22,0.833,0,0.00010566,0.99989
710940183,0.727,715,20,0.818,0,0.99467,0.00533
718927533,0.912,1512,42,0.909,0.103,0.00011811,0.99988
719337408,1.636,2399,43,0.955,0,0.0001597,0.99984
772308408,0.543,906,22,1.2,0.19,0.0003139,0.99969
712981383,0.75,1052,16,1.286,0.179,0.00010486,0.9999
790099758,0.786,975,11,0.833,0.145,0.00030516,0.99969
709547658,0.842,783,20,0.667,0.093,0.9968,0.00320374
778770783,0.781,990,21,0.909,0.064,0.0000207,0.99998
713134458,0.576,1097,24,0.5,0,0.0000335,0.99997
712159083,0.917,901,35,0.522,0,0.99714,0.00285845
713639958,0.64,1327,41,0.864,0.087,0.00011377,0.99989
771180033,2.023,1814,31,0.722,0.529,0.0000635,0.99994
717916758,0.777,1365,34,1.429,0.227,0.00028535,0.99971
711089733,0.876,1058,34,0.889,0,0.0000645,0.99994
716988633,0.785,1476,38,0.9,0,0.0000459,0.99995
779031033,0.747,1230,36,0.565,0.706,0.0000926,0.99991
716302383,0.909,1581,44,0.833,0.146,0.0000999,0.9999
718281408,1.134,1534,29,0.933,0.262,0.0000605,0.99994
721333233,0.693,1612,39,1.438,0.075,0.00029051,0.99971
